"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gptoss::fused_mxfp4_gemv_kernel(__hip_bfloat16 const*, unsigned char const*, unsigned char const*, __hip_bfloat16*, __hip_bfloat16 const*, int, int) [clone .kd]",29730,377229350,12688,26.218055838409825
"void gptoss::paged_attention_kernel_impl<true>(__hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, int const*, int const*, float const*, HIP_vector_type<float, 2u> const*, int, int, int, int, int, int, int, float*, float*, float*, int) [clone .kd]",3708,169168674,45622,11.757499094494499
"gptoss::gemv_bf16_kernel(__hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, __hip_bfloat16 const*, int, int) [clone .kd]",14395,148026742,10283,10.288100295838287
"gptoss::mxfp4_dequant_kernel_batched(gptoss::MxFp4BatchDesc const*, int) [clone .kd]",1320,112659284,85347,7.830004209978017
"gptoss::flash_attention_kernel(__hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, float const*, int, int, int, int, int) [clone .kd]",108,108744946,1006897,7.557951326886048
"__amd_rocclr_copyBuffer.kd",21641,83656776,3865,5.814282543045346
"__amd_rocclr_fillBufferAligned.kd",7640,62324346,8157,4.331643822306971
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16x256_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMBSK_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB512_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS16_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO1_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4.kd",3149,43840997,13922,3.047020883601866
"gptoss::prefix_sums_kernel(int const*, int const*, int*, int*, int, int, int) [clone .kd]",3816,35308086,9252,2.453969634906129
"gptoss::topk_softmax_kernel(__hip_bfloat16 const*, int*, float*, int*, int, int, int, int, int) [clone .kd]",3744,31509833,8416,2.1899848488803126
"gptoss::bias_add_rows_kernel(__hip_bfloat16*, __hip_bfloat16 const*, int, int) [clone .kd]",9808,29759053,3034,2.068302779866406
"gptoss::paged_attention_reduce_kernel(float const*, float const*, float const*, float const*, __hip_bfloat16*, int, int, int, int, int) [clone .kd]",3708,28736038,7749,1.997201566788657
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMBSK_GLS0_ISA942_IU1_K1_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS16_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKXCCM0_TLDS1_ULSGRO1_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4.kd",3182,28296548,8892,1.9666562941039554
"gptoss::split_qkv_kernel(__hip_bfloat16 const*, __hip_bfloat16*, __hip_bfloat16*, __hip_bfloat16*, int) [clone .kd]",3816,25220429,6609,1.7528610003189056
"gptoss::rmsnorm_kernel_vec4(__hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, int, float) [clone .kd]",4030,20460983,5077,1.422071731170319
"gptoss::swiglu_kernel_vec4(__hip_bfloat16 const*, __hip_bfloat16*, int, int, float) [clone .kd]",4380,18696145,4268,1.2994126081997774
"gptoss::fused_residual_rmsnorm_kernel_vec4(__hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, __hip_bfloat16*, int, float) [clone .kd]",3708,18392365,4960,1.2782994021287435
"gptoss::classify_and_count_kernel(int const*, int*, int*, int, int, int, int) [clone .kd]",3816,16977521,4449,1.179965433696438
"gptoss::rope_apply_k_kernel_vec(__hip_bfloat16 const*, __hip_bfloat16*, HIP_vector_type<float, 2u> const*, int const*, int, int, int) [clone .kd]",3816,16440432,4308,1.1426368711331176
"gptoss::combine_kernel_vectorized(__hip_bfloat16*, __hip_bfloat16 const*, __hip_bfloat16 const*, int const*, float const*, __hip_bfloat16 const*, int, int, int) [clone .kd]",3816,15629817,4095,1.0862978049033756
"gptoss::scatter_tokens_kernel(__hip_bfloat16 const*, int const*, __hip_bfloat16*, int, int, int) [clone .kd]",3816,15022590,3936,1.0440945368050951
"gptoss::kv_cache_update_kernel(__hip_bfloat16*, __hip_bfloat16*, __hip_bfloat16 const*, __hip_bfloat16 const*, int const*, int, int, int, int) [clone .kd]",3816,14489953,3797,1.0070753955118656
